附件1,,,,,,,,,,,,,,,,,,,,,
白酒抽样监测结果汇总表(第三批）,,,,,,,,,,,,,,,,,,,,,
序号,受检单位,生产地点,经度,纬度,单位,样品名称,规格型号,样品等级,生产日期(批号),综合判定,抽样地点,抽样日期,报告编号,己酸乙酯,乳酸乙酯,乳酸乙酯/乙酸乙酯,乙酸乙酯,酒精度,邻苯二甲酸二（2-乙基）己酯(DEHP),邻苯二甲酸二丁酯(DBP),邻苯二甲酸二异壬酯(DINP)
12,滏新名烟名酒,河北,114.52,38.05,避暑山庄企业集团酒业有限公司,山庄老酒,500ml/瓶  42%vol,优级,2015.1.26,合格,滏漳路与滏东路交口西南角,4/10/15,邯检(S)字(2015)第(L0339)号,1.20～2.80 | 1.69,,,,42.0±1.0 | 42.3,≤1.5 | 未检出,≤0.3 | 0.1,≤9.0 | 未检出
13,滏新名烟名酒,河北,114.52,38.05,丛台酒业股份有限公司,丛台酒,450ml/瓶  46%vol,一级,2011.6.16,合格,滏漳路与滏东路交口西南角,4/10/15,邯检(S)字(2015)第(L0340)号,0.60～2.50 | 1.00,,,,46.0±1.0 | 46.1,≤1.5 | 未检出,≤0.3 | 0.3,≤9.0 | 未检出
14,邯郸县三和名酒行,河北,114.52,38.05,乾隆醉酒业有限责任公司,板城烧锅酒,500ml/瓶  41%vol,优级,2014.11.14,合格,滏漳路与滏东路交口西南,4/10/15,邯检(S)字(2015)第(L0341)号,1.20～2.80 | 1.42,,,,41.0±1.0 | 41.0,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
15,,河北,114.52,38.05,九龙实业股份有限公司,九龙醉酒,500ml/瓶  41%vol,优级,2014.1.2,合格,滏漳路与滏东路交口西南,4/10/15,邯检(S)字(2015)第(L0342)号,1.20～2.80 | 1.30,,,,41.0±1.0 | 40.8,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 1.9
16,美食林集团（千鹤店）,四川,104.07,30.67,泸州老窖股份有限公司,金泸州（白酒）,52%vol  475ml,,20141204 2131,合格,建设大街与联防路交叉口西北角,4/10/15,邯检(S)字(2015)第(L0347)号,,,,,52.0±1.0 | 51.7,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
17,美食林集团（千鹤店）,河北,114.52,38.05,衡水老白干酒业股份有限公司,宋坊衡水老白干（白酒）,41%vol  500ml/瓶,,2013110437,合格,建设大街与联防路交叉口西北角,4/10/15,邯检(S)字(2015)第(L0348)号,,,,,41.0±1.0 | 40.2,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
18,美食林集团（千鹤店）,陕西,108.93,34.27,西凤股份有限公司,西凤品味酒,52%vol  500ml,一级,20140423,合格,建设大街与联防路交叉口西北角,4/10/15,邯检(S)字(2015)第(L0349)号,0.60～2.50 | 2.18,,,,53.0±1.0 | 52.3,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
19,新赵都超市光明店,保定,,,中德酿酒有限公司,平原神枪手 二锅头,400ml/瓶,一级,2014.6.9,合格,光明路光明桥,4/13/15,邯检(S)字(2015)第(L0363)号,,,,0.30～2.60 | 0.82,52.0±1.0 | 51.1,≤1.5 | 未检出,≤0.3 | 0.2,≤9.0 | 未检出
20,新赵都超市光明店,四川,104.07,30.67,沱牌舍得酒业股份有限公司,沱牌酒,480ml/瓶 45%vol,,2014.11.5,合格,光明路光明桥,4/13/15,邯检(S)字(2015)第(L0364)号,,,,,45.0±1.0 | 44.2,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
21,新赵都超市光明店,辽宁,123.43,41.8,益华酒业有限公司,东北高粱酒,1.8L/壶,,2013.11.6   42%vol,合格,光明路光明桥,4/13/15,邯检(S)字(2015)第(L0365)号,,,,,42.0±1.0 | 41.1,≤1.5 | 未检出,≤0.3 | 0.2,≤9.0 | 未检出
22,阳光超市鑫域店,北京,116.4,39.9,顺鑫农业股份有限公司牛栏山酒厂,牛栏山二锅头白酒,500ml/瓶 56%vol,一级,201402212,合格,联防路与世纪大街东南角,4/13/15,邯检(S)字(2015)第(L0370)号,,,,0.30～2.60 | 1.68,56.0±1.0 | 55.1,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
23,阳光超市鑫域店,黑龙江,,,黑龙江酿酒有限公司,中粮白（白酒）,500ml/瓶 42%vol,一级,14.10.24,合格,联防路与世纪大街东南角,4/13/15,邯检(S)字(2015)第(L0371)号,0.60～2.50 | 1.08,,,,42.0±1.0 | 43.0,≤1.5 | 未检出,≤0.3 | 0.1,≤9.0 | 未检出
24,阳光超市鑫域店,四川,104.07,30.67,全兴酒业有限公司,全兴精酿窖酒（白酒）,500ml/瓶 50%vol,一级,20120306,不合格,联防路与世纪大街东南角,4/13/15,邯检(S)字(2015)第(L0372)号,0.60～2.50 | 1.04,,,,50.0±1.0 | 49.0,≤1.5 | 0.1,≤0.3 | 1.4,≤9.0 | 未检出
25,阳光超市鑫域店,湖北,114.3,30.6,枝江酒业股份有限公司,枝江精品白酒,500ml/瓶 42%vol,优级,ZJA42033/E5-20150316,合格,联防路与世纪大街东南角,4/13/15,邯检(S)字(2015)第(L0373)号,1.20～2.80 | 1.20,,,,42.0±1.0 | 41.3,≤1.5 | 未检出,≤0.3 | 未检出,≤9.0 | 未检出
