附件6,,,,,,,,
抽样监测单位名单(第二批）,,,,,,,,
序号,受检单位,样品名称,规格型号,样品等级,综合判定,抽样地点,报告编号,备注
,河北美食林商贸集团有限公司滏东购物广场,生鲜肉,计量销售,,符合, 河北省邯郸市丛台区和平路450号,邯检(S)字(2015)第(L0226)号,
, 河北美食林商贸集团有限公司滏东购物广场,生鲜肉,计量销售,,符合,  河北省邯郸市丛台区和平路450号,邯检(S)字(2015)第(L0227)号,
, 邯郸市丛台区金都冷鲜肉门市,生鲜肉,计量销售,,符合, 丛台区自强市场西板房18号,邯检(S)字(2015)第(L0228)号,
, 自强市场雨润专卖,生鲜肉,计量销售,,符合, 丛台区自强市场西排一区12号,邯检(S)字(2015)第(L0229)号,
, 丛台区自强市场2区38号,生鲜肉,计量销售,,符合,  丛台区自强市场2区38号,邯检(S)字(2015)第(L0230)号,
,众品冷鲜肉,生鲜肉,计量销售,,符合,自强市场西板房17号,邯检(S)字(2015)第(L0231)号,
,自强市场1区3号众品冷鲜肉对过,生鲜肉,计量销售,,符合,自强市场1区3号,邯检(S)字(2015)第(L0232)号,
,邯郸县东柳林王氏肉食店,生鲜肉,计量,,符合,中道商场负一层D2-13--D2-16号,邯检(S)字(2015)第(L0233)号,
,沃尔玛东柳大街店,生鲜肉,计量,,符合,邯郸县东柳大街178号,邯检(S)字(2015)第(L0234)号,
,阳光超市天鸿店,生鲜肉,计量,,符合,丛台区联纺东路505号天鸿广场负一层,邯检(S)字(2015)第(L0235)号,
,阳光超市天鸿店,生鲜肉,计量,,符合,丛台区联纺东路505号天鸿广场负一层,邯检(S)字(2015)第(L0236)号,
,邯郸县地铁市场静静冷鲜肉门市,生鲜肉,计量,,不符合,地铁市场,邯检(S)字(2015)第(L0237)号,
,邯郸县地铁市场振家生肉门市,生鲜肉,计量,,符合,邯郸县地铁市场,邯检(S)字(2015)第(L0238)号,
,邯郸县地铁市场佳乐冷鲜肉门市,生鲜肉,计量销售,,符合,邯郸县地铁市场,邯检(S)字(2015)第(L0239)号,
, 邯郸县地铁市场雷英生肉门市,生鲜肉,计量,,不符合,邯郸县地铁市场,邯检(S)字(2015)第(L0240)号,
,邯郸县地铁市场恩广分割鸡门市,生鲜肉,计量,,符合,地铁市场,邯检(S)字(2015)第(L0241)号,
,沃尔玛购物广场邯郸东柳大街分店,烤兔,计量称重,,合格,丛台路与东柳大街轿车口中道广场负1层,邯检(S)字(2015)第(L0242)号,
,阳光超市鑫域店,酱牛肉,计量称重,,合格,联纺路与世纪大街交叉口,邯检(S)字(2015)第(L0243)号,
,阳光超市鑫域店,猪蹄,计量称重,,合格,联纺路与世纪大街交叉口,邯检(S)字(2015)第(L0244)号,
,阳光超市鑫域店,烧鸡,计量称重,,合格,联纺路与世纪大街交叉口,邯检(S)字(2015)第(L0245)号,
,阳光超市鑫域店,鸡肉,计量称重,,合格,联纺路与世纪大街交叉口,邯检(S)字(2015)第(L0246)号,
,阳光超市鑫域店,酱肘子,计量称重,,合格,联纺路与世纪大街交叉口,邯检(S)字(2015)第(L0247)号,
,阳光超市鑫域店,肘子,计量称重,,合格,联纺路与世纪大街交叉口,邯检(S)字(2015)第(L0248)号,
,阳光超市鑫域店,酱牛腱,计量称重,,合格,联纺路与世纪大街交叉口,邯检(S)字(2015)第(L0249)号,
,阳光超市鑫域店,猪耳朵,计量称重,,合格,联纺路与世纪大街交叉口,邯检(S)字(2015)第(L0250)号,
,美食林集团（新园店）,鸡腿,计量称重,,不合格,东环路与友谊路路口,邯检(S)字(2015)第(L0251)号,
,美食林集团（新园店）,驴肉香肠,计量称重,,合格,东环路与友谊路路口,邯检(S)字(2015)第(L0252)号,
,美食林集团（新园店）,四川腊肉,计量称重,,合格,东环路与友谊路路口,邯检(S)字(2015)第(L0253)号,
,美食林集团（新园店）,猪耳朵,计量称重,,合格,东环路与友谊路路口,邯检(S)字(2015)第(L0254)号,
,美食林集团（新园店）,猪蹄,计量称重,,合格,东环路与友谊路路口,邯检(S)字(2015)第(L0255)号,
,美食林集团（新园店）,五百居香肠,计量称重,,合格,东环路与友谊路路口,邯检(S)字(2015)第(L0256)号,
,滏漳路阳光超市,五香驴肉,200克/袋,,合格,,邯检(S)字(2015)第(L0257)号,
,香家乐超市,香鸡腿,90克/袋,,不合格,邯郸县和平路,邯检(S)字(2015)第(L0258)号,
,香家乐超市,鸡爪,35g/袋,,合格,邯郸县和平路,邯检(S)字(2015)第(L0259)号,
,阳光超市三龙店,双鸽肉肚,400g/袋,,合格,陵园路与滏东大街交叉口,邯检(S)字(2015)第(L0260)号,
,阳光超市三龙店,酱香肘,计量销售,,合格,陵园路与滏东大街交叉口,邯检(S)字(2015)第(L0261)号,
,阳光超市三龙店,湖南精品腊肉,计量销售,合格品,合格,陵园路与滏东大街交叉口,邯检(S)字(2015)第(L0262)号,
,阳光超市三龙店,熏肘（熏煮香肠）,计量销售,普通,合格,陵园路与滏东大街交叉口,邯检(S)字(2015)第(L0263)号,
,阳光超市三龙店,双鸽猪耳,计量销售,,合格,陵园路与滏东大街交叉口,邯检(S)字(2015)第(L0264)号,
,阳光超市三龙店,湖南乡村农家腊肉,300g/袋,一级,合格,陵园路与滏东大街交叉口,邯检(S)字(2015)第(L0265)号,
,阳光超市三龙店,老北京酱头肉,计量销售,,合格,陵园路与滏东大街交叉口,邯检(S)字(2015)第(L0266)号,
,邯郸市邯山区刘辉烤鸭店,茶油鸭,计量销售,,合格,和平路与东柳大街路口,邯检(S)字(2015)第(L0267)号,
,邯郸市邯山区刘辉烤鸭店,烤鸭,计量销售,,合格,和平路与东柳大街路口,邯检(S)字(2015)第(L0268)号,
,邯郸县地铁市场杨陶熟食,腊肉,计量销售,,不合格,邯郸县地铁市场杨陶熟食,邯检(S)字(2015)第(L0269)号,
,邯郸县地铁市场老郭烧鸡店,猪脸,计量销售,,合格,邯郸县地铁市场,邯检(S)字(2015)第(L0270)号,
,邯郸县地铁市场老郭烧鸡店,肘子,计量销售,,合格,邯郸县地铁市场,邯检(S)字(2015)第(L0271)号,
1,邯郸市丛台区刁家五香鸡（王久然）,烧鸡,计量称重,,合格,阳光超市光明店门旁,邯检(S)字(2015)第(L0272)号,
2,邯郸市丛台区刁家五香鸡（王久然）,酱肘,计量称重,,合格,阳光超市光明店门旁,邯检(S)字(2015)第(L0273)号,
3,石学兵,炸鸡,计量/只,,合格,阳光超市光明店门旁,邯检(S)字(2015)第(L0274)号,
4,阳光超市光明店,冠宇熟食（五香烧鸡）,600g/只,,合格,光明大街与和平路西北角,邯检(S)字(2015)第(L0275)号,
5,阳光超市光明店,散猪头肉,计量销售,,合格,光明大街与和平路西北角,邯检(S)字(2015)第(L0276)号,
6,阳光超市光明店,肘子,计量销售,,合格,光明大街与和平路西北角,邯检(S)字(2015)第(L0277)号,
7,阳光超市光明店,猪肝,计量销售,,合格,光明大街与和平路西北角,邯检(S)字(2015)第(L0278)号,
8,阳光超市光明店,猪耳朵,计量销售,,合格,光明大街与和平路西北角,邯检(S)字(2015)第(L0279)号,
9,阳光超市光明店,牛键,计量销售,,合格,光明大街与和平路西北角,邯检(S)字(2015)第(L0280)号,
10,阳光超市光明店,阳光自制熟食（猪蹄）,计量销售,,合格,光明大街与和平路西北角,邯检(S)字(2015)第(L0281)号,
11,小丁香酱肉,牛腱,,,合格,复兴区复兴商贸城,邯检(S)字(2015)第(L0287)号,
12,韩国风味炸鸡,鸡柳,,,合格,复兴区复兴商贸城,邯检(S)字(2015)第(L0288)号,
13,老二卤肉,猪肝,,,合格,复兴区复兴商贸城,邯检(S)字(2015)第(L0289)号,
14,北京酱肉 烧鸡,猪肘,,,合格,复兴区复兴商贸城,邯检(S)字(2015)第(L0290)号,
15,老四肉食店,牛肉,,,合格,复兴区复兴商贸城,邯检(S)字(2015)第(L0291)号,
16,臻味酱肉精品菜,驴肠,,,合格,复兴区复兴商贸城,邯检(S)字(2015)第(L0292)号,
17,宫廷瓦罐鸡,猪头肉,,,不合格,复兴区复兴商贸城,邯检(S)字(2015)第(L0293)号,
18,二刚熟肉,猪肘,,,合格,复兴区复兴商贸城,邯检(S)字(2015)第(L0294)号,
19,阳光超市复兴商贸城店,猪头肉,,,合格,复兴区复兴商贸城,邯检(S)字(2015)第(L0295)号,
